id,date,title,category
21152,2019-10-21,Request approval for FY20 spending with Eastern Salt for de-icing salt,"Budget, Taxes & Finance"
21153,2019-10-21,Approval of 2020-36 Capital Improvement Plan (CIP),"Budget, Taxes & Finance"
21273,2019-11-04,Request Council’s approval of appropriation of FY2018-19 purchase order roll forwards and carryforward funds into the FY2019-20 General Fund budget,"Budget, Taxes & Finance"
21822,2019-12-09,Public hearing for issuance of 2020 bond,"Budget, Taxes & Finance"
21823,2019-12-09,Presentation of 2019 Comprehensive Annual Financial Report (CAFR),"Budget, Taxes & Finance"
22171,2020-01-27,Presentation of Mid-Year Financial Review for fiscal year 2020,"Budget, Taxes & Finance"
22199,2020-02-03,2019 Investment Report,"Budget, Taxes & Finance"
22306,2020-02-24,"Request additional FY20 spending with Ferguson Enterprises, Inc.","Budget, Taxes & Finance"
22307,2020-02-24,"Request additional FY spending with Chantilly Crushed Stone, Inc.","Budget, Taxes & Finance"
22309,2020-02-24,"Request additional FY20 spending with Shannon Baum Signs, Inc.","Budget, Taxes & Finance"
22311,2020-02-24,Council Approval of Revised 2020 CIP for 2020 Bond Issue,"Budget, Taxes & Finance"
22314,2020-02-24,Appropriate funds for Davenport & Company as Financial Advisor,"Budget, Taxes & Finance"
22372,2020-03-09,"Request to set a public hearing for April 13, 2020 regarding the FY 2020-21 operating budget","Budget, Taxes & Finance"
22373,2020-03-09,"Request to set a public hearing for April 27, 2020 regarding the FY 2020-21 real estate tax rate","Budget, Taxes & Finance"
22396,2020-03-10,Special Meeting to Accept Bid for Bond Purchase,"Budget, Taxes & Finance"
22515,2020-04-13,Public Hearing on FY 2020-21 Proposed Budget,"Budget, Taxes & Finance"
22518,2020-04-13,Request additional FY20 spending with Potomac Truck Center,"Budget, Taxes & Finance"
22519,2020-04-13,"Resolution to extend the due date for the first installment of Town of Vienna real estate taxes to August 28, 2020","Budget, Taxes & Finance"
22593,2020-04-27,Request CIP and revenue-share funding for roadway maintenance utilizing IFB 20-03,"Budget, Taxes & Finance"
22595,2020-04-27,Approval of spending with Moody’s Investor Services for bond rating services,"Budget, Taxes & Finance"
22596,2020-04-27,Public hearing regarding FY 2020-21 proposed real estate tax rate,"Budget, Taxes & Finance"
